timestamp,open,high,low,close,adjusted close,volume,dividend amount
2005-11-30,45.4500,48.9500,44.4100,46.0200,5.5923,68368064,0.0000
2005-10-31,48.5500,48.8800,44.5500,45.4000,5.5169,50626328,0.0000
2005-09-30,44.9000,49.9900,44.9000,48.5100,5.8949,54496964,0.0500
2005-08-31,44.1500,46.5500,43.6500,45.0000,5.4447,48284708,0.0000
2005-07-29,43.6500,44.7400,41.7500,43.7000,5.2874,49972960,0.0000
2005-06-30,41.6000,45.0800,41.2100,43.0600,5.2099,56121988,0.0500
2005-05-31,38.8000,42.4000,37.6500,41.8000,5.0336,70412312,0.0000
2005-04-29,38.8000,39.1700,36.6100,38.7300,4.6639,48930136,0.0000
2005-03-31,38.5000,40.0000,37.7200,38.8900,4.6831,80206652,0.0500
2005-02-28,35.7500,38.9800,35.1600,38.1500,4.5709,68232360,0.0000
